id,url,create_user,create_ts,mod_user,mod_ts,facility_id_id,facility_id_key,facility_id_url,company_id_id,company_id_key,company_id_url,order_nbr,order_type_id_id,order_type_id_key,order_type_id_url,status_id,ord_date,exp_date,req_ship_date,dest_facility_id,shipto_facility_id,cust_name,cust_addr,cust_addr2,cust_addr3,cust_city,cust_state,cust_zip,cust_country,cust_phone_nbr,cust_email,cust_nbr,shipto_name,shipto_addr,shipto_addr2,shipto_addr3,shipto_city,shipto_state,shipto_zip,shipto_country,shipto_phone_nbr,shipto_email,ref_nbr,stage_location_id,ship_via_ref_code,route_nbr,external_route,destination_company_id_id,destination_company_id_key,destination_company_id_url,ship_via_id,priority,host_allocation_nbr,sales_order_nbr,sales_channel,customer_po_nbr,carrier_account_nbr,payment_method_id,dest_dept_nbr,start_ship_date,stop_ship_date,vas_group_code,spl_instr,currency_code,record_origin_code,cust_contact,shipto_contact,ob_lpn_type,ob_lpn_type_id,total_orig_ord_qty,orig_sku_count,orig_sale_price,gift_msg,sched_ship_date,customer_po_type,customer_vendor_code,externally_planned_load_flg,work_order_kit_id,order_nbr_to_replace,stop_ship_flg,lpn_type_class,billto_carrier_account_nbr,duties_carrier_account_nbr,duties_payment_method_id,customs_broker_contact_id,order_shipped_ts,cust_field_1,cust_field_2,cust_field_3,cust_field_4,cust_field_5,cust_date_1,cust_date_2,cust_date_3,cust_date_4,cust_date_5,cust_number_1,cust_number_2,cust_number_3,cust_number_4,cust_number_5,cust_decimal_1,cust_decimal_2,cust_decimal_3,cust_decimal_4,cust_decimal_5,cust_short_text_1,cust_short_text_2,cust_short_text_3,cust_short_text_4,cust_short_text_5,cust_short_text_6,cust_short_text_7,cust_short_text_8,cust_short_text_9,cust_short_text_10,cust_short_text_11,cust_short_text_12,cust_long_text_1,cust_long_text_2,cust_long_text_3,order_instructions_set,order_dtl_set_result_count,order_dtl_set_url,order_lock_set,tms_parcel_shipment_nbr,erp_source_hdr_ref,erp_source_system_ref,tms_order_hdr_ref,group_ref
74813,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74813,interface.sap,2025-09-15T09:35:59.926171-03:00,mgsilva,2025-09-16T15:00:59.775773-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000360,354,Z45,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/354,90,2025-09-12,,2025-09-16,,,MISSAO ALO CRIANCA DE ASSISTENCIA INFANT,AVENIDA TIRADENTES,615,,ANAPOLIS,GO,75040-010,,,,1011792,MISSAO ALO CRIANCA DE ASSISTENCIA INFANT,AVENIDA TIRADENTES,615,,ANAPOLIS,GO,75040-010,,,,06252518000107,,,,,0,*,,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,True,,,False,,,,,,2025-09-16T15:00:59.775773-03:00,,000000310,,135252711639236,35250906267630002661550010000003101846242481,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000064,EZ,,,,,,,,,,,BRASPRESS TRANSPORTES URGENTES LTDA,"Remessa em bonificação, doação ou brinde",,[],,,,,,,,
74814,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74814,interface.sap,2025-09-15T09:36:06.097927-03:00,mgsilva,2025-09-16T15:00:59.775773-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000432,563,Z04,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/563,90,2025-09-12,,2025-09-16,,,INSTITUTO EDUCACIONAL ICE EIRELI ME,RUA GUILHERME HANS,43,,CUIABA,MT,78065-170,,,,1012053,INSTITUTO EDUCACIONAL ICE EIRELI ME,RUA GUILHERME HANS,43,,CUIABA,MT,78065-170,,,,03620439000105,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,3,3,,,,,,True,,,False,,,,,,2025-09-16T15:00:59.775773-03:00,,000000315,,135252718692744,35250906267630002661550010000003151278225529,2025-09-16,,,,,1,1,0,0,0,0,0,0,0,0,6100000064,,,,,,,,,,,,BRASPRESS TRANSPORTES URGENTES LTDA,"Remessa em bonificação, doação ou brinde",,[],,,,,,,,
74815,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74815,interface.sap,2025-09-15T09:36:09.672001-03:00,rafaelnascimento,2025-09-17T11:56:24.321605-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000447,563,Z04,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/563,90,2025-09-12,,2025-09-16,,,CENTRO EDUCACIONAL BALAO MAGICO LTDA ME,Q QUADRA 19,S/N,,VALPARAISO DE GOIAS,GO,72876-057,,,,1012044,CENTRO EDUCACIONAL BALAO MAGICO LTDA ME,Q QUADRA 19,S/N,,VALPARAISO DE GOIAS,GO,72876-057,,,,01121961000117,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,1,1,,,,,,True,,,False,,,,,,2025-09-17T11:56:24.321605-03:00,,000000311,,135252711639290,35250906267630002661550010000003111964941433,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000064-1,,,,,,,,,,,,BRASPRESS TRANSPORTES URGENTES LTDA,"Remessa em bonificação, doação ou brinde",,[],,,,,,,,
74816,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74816,interface.sap,2025-09-15T09:38:08.504127-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000383,443,Z44,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/443,90,2025-09-12,,2025-09-16,,,GARCIA BARBOSA E BARBOSA LTDA ME,RUA BENTO DE ABREU 9,SN,,SANTOS,SP,11045-140,,,,1011821,GARCIA BARBOSA E BARBOSA LTDA ME,RUA BENTO DE ABREU 9,SN,,SANTOS,SP,11045-140,,,,00371002000197,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,1,1,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000295,,135252709841309,35250906267630002661550010000002951656208721,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,Venda merc.adq.receb.de terceiros,,[],,,,,,,,
74817,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74817,interface.sap,2025-09-15T09:38:09.610699-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000323,431,Z56,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/431,90,2025-09-11,,2025-09-16,,,EDUCA ENSINO FUNDAMENTAL LTDA,R FRANCISCO BARBOSA,334,,CUBATAO,SP,11530-100,,,,1010684,EDUCA ENSINO FUNDAMENTAL LTDA,R FRANCISCO BARBOSA,334,,CUBATAO,SP,11530-100,,,,23393599000176,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,1,1,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000256,,135252707406018,35250906267630002661550010000002561873391461,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,Outras saídas - Simples Remessa para Escola,,[],,,,,,,,
74818,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74818,interface.sap,2025-09-15T09:38:10.190452-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000355,443,Z44,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/443,90,2025-09-12,,2025-09-16,,,PRE ESCOLA ARCO IRIS LTDA,R CAMPOS SALES,717,,SANTO ANTONIO DA PLATINA,PR,86430-000,,,,1023358,PRE ESCOLA ARCO IRIS LTDA,R CAMPOS SALES,717,,SANTO ANTONIO DA PLATINA,PR,86430-000,,,,01934149000100,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,3,3,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000324,,135252719907796,35250906267630002661550010000003241916861148,2025-09-16,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,"Remessa em bonificação, doação ou brinde /  Venda merc.adq.r",,[],,,,,,,,
74819,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74819,interface.sap,2025-09-15T09:38:11.983870-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000380,443,Z44,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/443,90,2025-09-12,,2025-09-16,,,SOCIEDADE EDUCACIONAL SSJ LTDA,R JOSE TREVISAN,672,,SAO JOSE DOS PINHAIS,PR,83090-090,,,,1023152,SOCIEDADE EDUCACIONAL SSJ LTDA,R JOSE TREVISAN,672,,SAO JOSE DOS PINHAIS,PR,83090-090,,,,08797719000107,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,5,5,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000283,,135252707800646,35250906267630002661550010000002831787547758,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,"Remessa em bonificação, doação ou brinde /  Venda merc.adq.r",,[],,,,,,,,
74820,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74820,interface.sap,2025-09-15T09:38:13.685234-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000392,443,Z44,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/443,90,2025-09-12,,2025-09-16,,,SOCIEDADE EDUCATIVA LTDA,RUA RIO BRANCO,775,,PATROCINIO,MG,38740-442,,,,1035492,SOCIEDADE EDUCATIVA LTDA,RUA RIO BRANCO,775,,PATROCINIO,MG,38740-442,,,,40273358000102,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,3,3,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000287,,135252709680972,35250906267630002661550010000002871180565449,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,"Venda merc.adq.receb.de terceiros /  Remessa em bonificação,",,[],,,,,,,,
74821,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74821,interface.sap,2025-09-15T09:38:15.115427-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000318,349,Z05,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/349,90,2025-09-11,,2025-09-16,,,CENTRO EDUCACIONAL TOTH LTDA,RUA OSWALDO CRUZ  2,S/N,,RIBEIRAO PIRES,SP,09420-310,,,,1011839,CENTRO EDUCACIONAL TOTH LTDA,RUA OSWALDO CRUZ  2,S/N,,RIBEIRAO PIRES,SP,09420-310,,,,15016205000132,,,,,0,*,,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000266,,135252707628665,35250906267630002661550010000002661860877332,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,EZ,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,"Remessa em bonificação, doação ou brinde",,[],,,,,,,,
74822,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_hdr/74822,interface.sap,2025-09-15T09:38:16.144946-03:00,mgsilva,2025-09-16T14:57:02.468627-03:00,4,CJUN,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/facility/4,1,CBES,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/company/1,80000384,443,Z44,https://k1.wms.ocs.oraclecloud.com:443/arcoed/wms/lgfapi/v10/entity/order_type/443,90,2025-09-12,,2025-09-16,,,SOCIEDADE EDUCACIONAL SSJ LTDA,R JOSE TREVISAN,672,,SAO JOSE DOS PINHAIS,PR,83090-090,,,,1023152,SOCIEDADE EDUCACIONAL SSJ LTDA,R JOSE TREVISAN,672,,SAO JOSE DOS PINHAIS,PR,83090-090,,,,08797719000107,,,,,0,*,,,4,,,,,,,,,,,,,,,,,,4,4,,,,,,True,,,False,,,,,,2025-09-16T14:57:02.468627-03:00,,000000297,,135252709841750,35250906267630002661550010000002971939759944,2025-09-15,,,,,1,1,0,0,0,0,0,0,0,0,6100000065,,,,,,,,,,,,RODONAVES TRANSPORTES E ENCOMENDAS LTDA,"Remessa em bonificação, doação ou brinde /  Venda merc.adq.r",,[],,,,,,,,
